Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);nomeCurso;tipoCurso;tipoEixoTecnologico;SubeixoTecnologico;tipoOferta;turnoCurso;ModalidadeEnsino;nomeFonteFinanciamento;Número de Matrículas;Matrículas | Número de Evadidos;Matrículas | Taxa de Evasão %
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Agroindústria;Técnico;Produção Alimentícia;Agroindustria;Integrado;Integral;Educação Presencial;Sem Programa Associado;155;6;0,03870967741935484
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Agronegócio;Técnico;Recursos Naturais;Agrícola;Concomitante;Noturno;Educação Presencial;Sem Programa Associado;11;2;0,18181818181818182
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Agronegócio;Técnico;Recursos Naturais;Agrícola;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;42;;
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Agropecuária;Técnico;Recursos Naturais;Agrícola;Integrado;Integral;Educação Presencial;Sem Programa Associado;295;12;0,04067796610169491
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Alimentos;Técnico;Produção Alimentícia;Alimentos;Integrado;Integral;Educação Presencial;Sem Programa Associado;595;34;0,05714285714285714
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Aquicultura;Técnico;Recursos Naturais;Pesca;Subsequente;Não se aplica;Educação a Distância;Sem Programa Associado;68;11;0,16176470588235295
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Automação Industrial;Técnico;Controle e Processos Industriais;Automação;Concomitante;Noturno;Educação Presencial;Sem Programa Associado;857;110;0,12835472578763127
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Automação Industrial;Técnico;Controle e Processos Industriais;Automação;Concomitante;Vespertino;Educação Presencial;Sem Programa Associado;228;14;0,06140350877192982
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Automação Industrial;Técnico;Controle e Processos Industriais;Automação;Integrado;Integral;Educação Presencial;Sem Programa Associado;777;28;0,036036036036036036
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Automação Industrial;Técnico;Controle e Processos Industriais;Automação;Integrado;Vespertino;Educação Presencial;Sem Programa Associado;199;4;0,020100502512562814
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Automação Industrial;Técnico;Controle e Processos Industriais;Automação;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;132;9;0,06818181818181818
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Cervejaria;Técnico;Produção Alimentícia;Agroindustria;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;79;3;0,0379746835443038
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Comércio;Técnico;Gestão e Negócios;Gestão e Negócios;Concomitante;Noturno;Educação Presencial;Sem Programa Associado;33;12;0,36363636363636365
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Comércio;Técnico;Gestão e Negócios;Gestão e Negócios;PROEJA - Integrado;Noturno;Educação Presencial;Sem Programa Associado;48;1;0,020833333333333332
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Comércio;Técnico;Gestão e Negócios;Gestão e Negócios;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;54;2;0,037037037037037035
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Comunicação Visual;Técnico;Produção Cultural e Design;Comunicação;PROEJA - Integrado;Integral;Educação Presencial;Sem Programa Associado;39;;
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Desenho de Construção Civil;Técnico;Infraestrutura;Civil;Integrado;Integral;Educação Presencial;Sem Programa Associado;124;7;0,056451612903225805
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Design de Interiores;Técnico;Produção Cultural e Design;Design;Concomitante;Vespertino;Educação Presencial;Sem Programa Associado;4;1;0,25
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Design de Interiores;Técnico;Produção Cultural e Design;Design;Subsequente;Vespertino;Educação Presencial;Sem Programa Associado;119;12;0,10084033613445378
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Edificações;Técnico;Infraestrutura;Civil;Concomitante;Noturno;Educação Presencial;Sem Programa Associado;869;83;0,09551208285385501
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Edificações;Técnico;Infraestrutura;Civil;Concomitante;Vespertino;Educação Presencial;Sem Programa Associado;303;24;0,07920792079207921
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Edificações;Técnico;Infraestrutura;Civil;Integrado;Integral;Educação Presencial;Sem Programa Associado;407;10;0,02457002457002457
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Edificações;Técnico;Infraestrutura;Civil;Integrado;Matutino;Educação Presencial;Sem Programa Associado;40;3;0,075
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Edificações;Técnico;Infraestrutura;Civil;Integrado;Vespertino;Educação Presencial;Sem Programa Associado;95;6;0,06315789473684211
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Edificações;Técnico;Infraestrutura;Civil;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;82;9;0,10975609756097561
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Edificações;Técnico;Infraestrutura;Civil;Subsequente;Vespertino;Educação Presencial;Sem Programa Associado;31;6;0,1935483870967742
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletroeletrônica;Técnico;Controle e Processos Industriais;Elétrica;Concomitante;Matutino;Educação Presencial;Sem Programa Associado;40;2;0,05
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletroeletrônica;Técnico;Controle e Processos Industriais;Elétrica;Concomitante;Noturno;Educação Presencial;Sem Programa Associado;382;33;0,08638743455497382
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletroeletrônica;Técnico;Controle e Processos Industriais;Elétrica;Integrado;Integral;Educação Presencial;Sem Programa Associado;160;4;0,025
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletroeletrônica;Técnico;Controle e Processos Industriais;Elétrica;Integrado;Matutino;Educação Presencial;Sem Programa Associado;301;23;0,07641196013289037
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletroeletrônica;Técnico;Controle e Processos Industriais;Elétrica;Integrado;Vespertino;Educação Presencial;Sem Programa Associado;191;9;0,04712041884816754
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletroeletrônica;Técnico;Controle e Processos Industriais;Elétrica;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;58;2;0,034482758620689655
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletromecânica;Técnico;Controle e Processos Industriais;Automação;Concomitante;Noturno;Educação Presencial;Sem Programa Associado;40;1;0,025
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletromecânica;Técnico;Controle e Processos Industriais;Automação;Integrado;Matutino;Educação Presencial;Sem Programa Associado;181;7;0,03867403314917127
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletrônica;Técnico;Controle e Processos Industriais;Elétrica;Concomitante;Noturno;Educação Presencial;Sem Programa Associado;80;8;0,1
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletrônica;Técnico;Controle e Processos Industriais;Elétrica;Integrado;Integral;Educação Presencial;Sem Programa Associado;144;6;0,041666666666666664
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletrônica;Técnico;Controle e Processos Industriais;Elétrica;Integrado;Matutino;Educação Presencial;Sem Programa Associado;358;29;0,08100558659217877
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletrônica;Técnico;Controle e Processos Industriais;Elétrica;Subsequente;Integral;Educação Presencial;Sem Programa Associado;39;;
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletrônica;Técnico;Controle e Processos Industriais;Elétrica;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;5;;
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletrotécnica;Técnico;Controle e Processos Industriais;Elétrica;Concomitante;Noturno;Educação Presencial;Sem Programa Associado;496;47;0,09475806451612903
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletrotécnica;Técnico;Controle e Processos Industriais;Elétrica;Concomitante;Vespertino;Educação Presencial;Sem Programa Associado;3;;
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletrotécnica;Técnico;Controle e Processos Industriais;Elétrica;Integrado;Integral;Educação Presencial;Sem Programa Associado;147;2;0,013605442176870748
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletrotécnica;Técnico;Controle e Processos Industriais;Elétrica;Integrado;Vespertino;Educação Presencial;Sem Programa Associado;189;8;0,042328042328042326
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eletrotécnica;Técnico;Controle e Processos Industriais;Elétrica;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;40;;
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eventos;Técnico;Turismo, Hospitalidade e Lazer;Eventos;Concomitante;Matutino;Educação Presencial;Sem Programa Associado;19;6;0,3157894736842105
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eventos;Técnico;Turismo, Hospitalidade e Lazer;Eventos;Concomitante;Noturno;Educação Presencial;Sem Programa Associado;50;1;0,02
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eventos;Técnico;Turismo, Hospitalidade e Lazer;Eventos;Integrado;Matutino;Educação Presencial;Sem Programa Associado;68;;
2021;Sudeste;SP;São Paulo;Institutos Federais, Cefet's e Colégio Pedro II;IFSP;Instituto Federal de São Paulo;Técnico em Eventos;Técnico;Turismo, Hospitalidade e Lazer;Eventos;Integrado;Vespertino;Educação Presencial;Sem Programa Associado;180;1;0,005555555555555556
