dCalendário[Ano];d_IES[UF];d_IES[Organização Acadêmica];dimUnidade[Instituicao];d_IES[Instituição (Nome)];dimCurso[nomeCurso];dimCurso[tipoCurso];dimCurso[tipoEixoTecnologico];dimCurso[SubeixoTecnologico];Número de cursos;Número de concluintes;Número de ingressantes;Número de inscritos;Número de Matrículas;Número de vagas;Matrícula Equivalente Apresentada Geral
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Língua Brasileira de Sinais (Libras) ­ Básico;Qualificação Profissional (FIC);Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;52;37;37;67;37;13,4
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Logística;Tecnologia;Gestão e Negócios;Gestão e Negócios;1;16;78;1850;200;80;220,00000000000003
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Matemática;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;2;26;117;1688;237;120;255,96
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Músico de Banda;Qualificação Profissional (FIC);Produção Cultural e Design;Arte e Cultura;1;8;20;28;20;20;5,5
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Preparador de Pescado;Qualificação Profissional (FIC);Produção Alimentícia;Alimentos;1;14;;;34;;8,5
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Processos Escolares;Tecnologia;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;2;71;82;1640;318;81;318
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Qualificação Profissional - Desenvolvimento Educacional e Social;Qualificação Profissional (FIC);Desenvolvimento Educacional e Social;Desenvolvimento Educacional e Social;1;34;;;37;;7,4
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Química;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;61;45;480;197;40;216,70000000000002
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Recreador;Qualificação Profissional (FIC);Turismo, Hospitalidade e Lazer;Lazer;1;7;19;24;19;30;3,8000000000000003
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Sistemas Para Internet;Tecnologia;Informação e Comunicação;Informática;1;11;41;1039;122;41;152,5
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Administração;Técnico;Gestão e Negócios;Gestão e Negócios;11;194;198;1990;416;200;457,6
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Agricultura;Técnico;Recursos Naturais;Agrícola;2;26;32;51;151;35;181,2
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Agroecologia;Técnico;Recursos Naturais;Agrícola;5;41;118;237;255;121;306
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Agropecuária;Técnico;Recursos Naturais;Agrícola;1;25;81;134;188;81;225,6
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Aquicultura;Técnico;Recursos Naturais;Pesca;4;15;66;112;226;80;271,2
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Biotecnologia;Técnico;Ambiente e Saúde;Saúde;4;91;80;100;297;80;341,54999999999995
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Controle Ambiental;Técnico;Ambiente e Saúde;Meio Ambiente;1;10;;;12;;13,919999999999998
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Cooperativismo;Técnico;Gestão e Negócios;Gestão e Negócios;1;;36;139;36;40;36
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Desenho de Construção Civil;Técnico;Infraestrutura;Civil;1;29;;;29;;34,8
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Edificações;Técnico;Infraestrutura;Civil;4;22;38;188;117;40;152,1
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Finanças;Técnico;Gestão e Negócios;Gestão e Negócios;5;124;40;63;230;40;230
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Florestas;Técnico;Recursos Naturais;Agrícola;3;63;37;77;184;37;220,79999999999998
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Informática;Técnico;Informação e Comunicação;Informática;6;39;72;119;352;70;440
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Informática Para Internet;Técnico;Informação e Comunicação;Informática;2;;78;294;91;80;113,75
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Infraestrutura Escolar;Técnico;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;;;;4;;4,2
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Manutenção e Suporte em Informática;Técnico;Informação e Comunicação;Informática;1;2;;;2;;2,5
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Meio Ambiente;Técnico;Ambiente e Saúde;Meio Ambiente;2;36;37;74;128;40;138,24
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Multimeios Didáticos;Técnico;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;2;40;;;48;;50,400000000000006
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Química;Técnico;Produção Industrial;Química;1;13;;;17;;21,59
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Recursos Humanos;Técnico;Gestão e Negócios;Gestão e Negócios;1;5;80;461;172;80;172
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Recursos Pesqueiros;Técnico;Recursos Naturais;Pesca;1;;27;70;27;40;32,4
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Redes de Computadores;Técnico;Informação e Comunicação;Informática;1;;78;278;78;80;97,5
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Secretaria Escolar;Técnico;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;5;227;1;;274;;274
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Segurança do Trabalho;Técnico;Segurança;Segurança;2;23;80;1774;176;80;195,36
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Serviços Jurídicos;Técnico;Gestão e Negócios;Gestão e Negócios;1;;42;528;42;42;42
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Tradução e Interpretação de Libras;Técnico;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;;40;818;40;40;52
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Vendas;Técnico;Gestão e Negócios;Gestão e Negócios;4;143;;;194;;194
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Técnico em Zootecnia;Técnico;Recursos Naturais;Pecuária;1;;75;392;75;80;90
2017;AC;Institutos Federais, Cefet's e Colégio Pedro II;IFAC;Instituto Federal do Acre;Zootecnia;Bacharelado;Recursos Naturais;Pecuária;1;;40;874;140;40;154
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Administração;Bacharelado;Gestão e Negócios;Gestão e Negócios;4;38;;;201;;201
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Agente Cultural;Qualificação Profissional (FIC);Produção Cultural e Design;Arte e Cultura;1;;;;1;;0,2
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Agente de Projetos Sociais;Qualificação Profissional (FIC);Desenvolvimento Educacional e Social;Desenvolvimento Social;2;31;73;73;73;80;3,6500000000000004
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Alimentos;Tecnologia;Produção Alimentícia;Alimentos;1;3;35;1034;121;34;145,2
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Assistente Financeiro;Qualificação Profissional (FIC);Gestão e Negócios;Gestão e Negócios;2;30;37;37;37;37;9,7125
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Auxiliar de Cozinha;Qualificação Profissional (FIC);Turismo, Hospitalidade e Lazer;Hospitalidade;3;159;;;159;;39,4
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Avicultor;Qualificação Profissional (FIC);Recursos Naturais;Pecuária;1;17;17;30;17;36;0,8500000000000001
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Camareira em Meios de Hospedagem;Qualificação Profissional (FIC);Turismo, Hospitalidade e Lazer;Hospitalidade;1;94;;;94;;23,5
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Ciências Biológicas;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;7;60;218;1562;850;221;935,0000000000001
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Confeiteiro;Qualificação Profissional (FIC);Produção Alimentícia;Alimentos;1;100;;;100;;20
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Construção de Edifícios;Tecnologia;Infraestrutura;Civil;1;34;;;142;;170,4
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Design de Interiores;Tecnologia;Produção Cultural e Design;Design;2;49;45;3715;236;42;271,4
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Engenharia Agronômica;Bacharelado;Recursos Naturais;Agrícola;1;;48;291;88;48;101,19999999999999
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Engenharia Civil;Bacharelado;Infraestrutura;Civil;3;;163;1727;420;167;478,79999999999995
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Especialização - Desenvolvimento Educacional e Social;Especialização (Lato Sensu);Desenvolvimento Educacional e Social;Desenvolvimento Educacional e Social;3;39;82;130;121;90;121
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Especialização - Informação e Comunicação;Especialização (Lato Sensu);Informação e Comunicação;Informação e Comunicação;2;;70;147;98;80;98
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Especialização - Produção Industrial;Especialização (Lato Sensu);Produção Industrial;Produção Industrial;1;15;;;26;;26
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Estampador de Tecido;Qualificação Profissional (FIC);Produção Industrial;Vestuário;1;7;17;20;17;20;3,825
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Gestão Ambiental;Tecnologia;Ambiente e Saúde;Meio Ambiente;1;101;71;644;559;80;614,9000000000001
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Gestão da Tecnologia da Informação;Tecnologia;Informação e Comunicação;Informática;1;5;;;22;;27,5
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Gestão de Turismo;Tecnologia;Turismo, Hospitalidade e Lazer;Turismo;1;35;84;4785;295;83;297,95
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Hotelaria;Tecnologia;Turismo, Hospitalidade e Lazer;Hospitalidade;4;98;81;3926;489;82;533,01
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Inglês Aplicado a Serviços Turísticos;Qualificação Profissional (FIC);Turismo, Hospitalidade e Lazer;Turismo;1;10;27;27;27;27;4,05
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Inglês Básico;Qualificação Profissional (FIC);Desenvolvimento Educacional e Social;Desenvolvimento Educacional;2;23;36;58;36;60;5,805
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Joalheiro;Qualificação Profissional (FIC);Produção Industrial;Joalheria;1;50;;;50;;13,750000000000002
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Laticínios;Tecnologia;Produção Alimentícia;Agroindustria;2;5;31;100;167;30;192,04999999999998
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Letras - Língua Portuguesa;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Científico;9;118;288;2326;1044;322;1044
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Matemática;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;12;46;572;236;45;254,88000000000002
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Mestrado Profissional - Ambiente e Saúde;Mestrado Profissional;Ambiente e Saúde;Ambiente e Saúde;1;;20;166;20;20;20
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Montador e Reparador de Computadores;Qualificação Profissional (FIC);Informação e Comunicação;Informática;2;13;15;15;15;20;1,875
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Operador de Computador;Qualificação Profissional (FIC);Informação e Comunicação;Informática;5;95;131;142;131;137;19,794999999999998
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Operador de Processos Químicos Industriais;Qualificação Profissional (FIC);Produção Industrial;Petroquímico;2;7;21;21;21;21;3,675
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Produtor Agropecuário;Qualificação Profissional (FIC);Recursos Naturais;Agrícola;1;19;46;60;46;50;7,36
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Programador de Sistemas;Qualificação Profissional (FIC);Informação e Comunicação;Informática;2;9;28;28;28;28;5,6000000000000005
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Programador Web;Qualificação Profissional (FIC);Informação e Comunicação;Informática;3;8;25;39;25;46;4,575
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Qualificação Profissional - Desenvolvimento Educacional e Social;Qualificação Profissional (FIC);Desenvolvimento Educacional e Social;Desenvolvimento Educacional e Social;6;83;137;244;137;274;10,09125
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Qualificação Profissional - Gestão e Negócios;Qualificação Profissional (FIC);Gestão e Negócios;Gestão e Negócios;1;15;24;45;24;25;1,0499999999999998
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Qualificação Profissional - Informação e Comunicação;Qualificação Profissional (FIC);Informação e Comunicação;Informação e Comunicação;5;65;124;126;124;139;22,3
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Qualificação Profissional - Produção Cultural e Design;Qualificação Profissional (FIC);Produção Cultural e Design;Produção Cultural e Design;1;13;40;40;40;40;6,1
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Qualificação Profissional - Recursos Naturais;Qualificação Profissional (FIC);Recursos Naturais;Recursos Naturais;1;18;50;70;50;50;6
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Qualificação Profissional - Segurança;Qualificação Profissional (FIC);Segurança;Segurança;1;23;25;35;25;40;1
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Química;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;12;44;766;175;44;192,50000000000003
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Regente de Coral;Qualificação Profissional (FIC);Produção Cultural e Design;Arte e Cultura;1;41;103;141;103;150;22,259999999999998
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Sistemas de Informação;Bacharelado;Informação e Comunicação;Informática;1;37;88;5204;472;87;571,12
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Sistemas Eletrônicos;Tecnologia;Controle e Processos Industriais;Elétrica;1;11;39;400;116;39;142,68
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Açúcar e Álcool;Técnico;Produção Industrial;Petroquímico;2;36;72;201;341;72;433,07
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Administração;Técnico;Gestão e Negócios;Gestão e Negócios;4;78;249;623;487;249;535,7
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Agricultura;Técnico;Recursos Naturais;Agrícola;1;15;;;15;;18
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Agroecologia;Técnico;Recursos Naturais;Agrícola;6;107;199;567;871;200;1045,2
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Agroindústria;Técnico;Produção Alimentícia;Agroindustria;8;155;302;942;1094;310;1258,1
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Agropecuária;Técnico;Recursos Naturais;Agrícola;7;358;389;941;1435;428;1722
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Alimentação Escolar;Técnico;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;6;123;;;179;;196,9
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Alimentos;Técnico;Produção Alimentícia;Alimentos;1;;65;69;95;65;114
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Artesanato;Técnico;Produção Cultural e Design;Arte e Cultura;1;8;22;36;42;30;46,2
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Cozinha;Técnico;Turismo, Hospitalidade e Lazer;Hospitalidade;2;21;70;80;157;70;188,4
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Edificações;Técnico;Infraestrutura;Civil;5;91;256;1580;901;254;1171,3
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Eletrônica;Técnico;Controle e Processos Industriais;Elétrica;5;71;263;943;731;260;928,37
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Eletrotécnica;Técnico;Controle e Processos Industriais;Elétrica;6;95;233;1121;825;233;1047,75
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Estradas;Técnico;Infraestrutura;Civil;2;20;68;147;186;72;241,8
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Guia de Turismo;Técnico;Turismo, Hospitalidade e Lazer;Turismo;1;35;101;218;677;100;724,39
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Hospedagem;Técnico;Turismo, Hospitalidade e Lazer;Hospitalidade;4;58;144;548;492;144;521,52
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Informática;Técnico;Informação e Comunicação;Informática;10;273;152;898;1091;148;1363,75
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Informática Para Internet;Técnico;Informação e Comunicação;Informática;8;;295;1162;405;296;506,25
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Infraestrutura Escolar;Técnico;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;8;290;;;427;;448,35
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Logística;Técnico;Gestão e Negócios;Gestão e Negócios;2;;117;237;117;150;119,34
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Mecânica;Técnico;Controle e Processos Industriais;Mecânica;3;89;120;665;450;122;571,5
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Meio Ambiente;Técnico;Ambiente e Saúde;Meio Ambiente;4;87;173;662;930;173;1004,4000000000001
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Química;Técnico;Produção Industrial;Química;4;81;231;1216;603;232;765,8100000000001
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Redes de Computadores;Técnico;Informação e Comunicação;Informática;1;7;;;7;;8,75
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Secretaria Escolar;Técnico;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;9;328;;;570;;570
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Segurança do Trabalho;Técnico;Segurança;Segurança;4;175;297;1431;919;298;1020,0900000000001
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Soldagem;Técnico;Controle e Processos Industriais;Mecânica;1;16;59;125;131;61;166,37
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Técnico em Zootecnia;Técnico;Recursos Naturais;Pecuária;1;12;;;12;;14,399999999999999
2017;AL;Institutos Federais, Cefet's e Colégio Pedro II;IFAL;Instituto Federal de Alagoas;Vendedor;Qualificação Profissional (FIC);Gestão e Negócios;Gestão e Negócios;1;99;;;99;;25,9875
2017;AL;Universidades Federais;UFAL - ETA;Universidade Federal de Alagoas;Técnico em Canto;Técnico;Produção Cultural e Design;Arte e Cultura;1;3;2;5;16;5;20,8
2017;AL;Universidades Federais;UFAL - ETA;Universidade Federal de Alagoas;Técnico em Dança;Técnico;Produção Cultural e Design;Arte e Cultura;1;7;27;30;55;35;71,5
2017;AL;Universidades Federais;UFAL - ETA;Universidade Federal de Alagoas;Técnico em Instrumento Musical;Técnico;Produção Cultural e Design;Arte e Cultura;1;2;15;24;42;24;54,6
